manual_match,company_type,page_handle,page_name,company_name,company_id,company_status_date,days_from_company_status_to_now,bigrams_intersection,times_prosecutor,times_defendant,times_unknown_appearences,companies_general_info_columns,changed_picture,has_website,has_top_20_website,phone,has_phone,email,has_email,number_of_likes,has_more_than_100_likes,has_more_than_10_likes,has_more_than_1_likes,checkins,were_here_count,talking_about_count,changed_cover,has_location,has_country,has_state,has_country_state,has_country_state_city,has_country_or_state_or_city,is_unclaimed,is_published,is_verified,is_permanently_closed,is_community_page,start_info,has_start_info,has_text,description_length,description_words,about_length,about_words,products_length,products_words,general_info_length,general_info_words,category,category_list,number_of_records,number_of_pages,companies_events_columns,first_event_time,last_event_time,number_of_different_months_with_events,total_events,total_attending,min_attending_per_event,max_attending_per_event,avg_attending_per_event,total_maybe,min_maybe_per_event,max_maybe_per_event,avg_maybe_per_event,total_noreply,min_noreply_per_event,max_noreply_per_event,avg_noreply_per_event,total_interested,min_interested_per_event,max_interested_per_event,avg_interested_per_event,total_declined,min_declined_per_post,max_declined_per_post,avg_declined_per_post,companies_photos,first_photo_time,last_photo_time,number_of_different_photo_uploaders,number_of_photos_self_tagged,number_of_photos_with_tagged_people_without_self,total_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos,min_number_of_people_tagged_in_photos,max_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos_when_more_than_zero,number_of_different_months_for_photos,total_photos,number_of_albums,number_of_normal_albums,number_of_wall_albums,number_of_mobile_albums,number_of_cover_albums,number_of_profile_albums,number_of_app_albums,number_of_null_albums,number_of_photos_in_normal_albums,number_of_photos_in_wall_albums,number_of_photos_in_mobile_albums,number_of_photos_in_cover_albums,number_of_photos_in_profile_albums,number_of_photos_in_app_albums,number_of_photos_in_null_albums,number_of_photos_1qr_before_status,number_of_photos_2qr_before_status,number_of_photos_3qr_before_status,number_of_photos_4qr_before_status,number_of_photos_6months_before_status,number_of_photos_12months_before_status,companies_posts_columns,companies_posts_calculation_date,days_from_last_post_to_now,days_from_last_post_to_company_status,first_post_time,last_post_time,number_of_different_months_with_posts,total_posts,total_user_changed_post_time,total_posts_with_photos,total_posts_with_photos_more_than_5_comments,total_posts_with_photos_less_than_5_comments,total_posts_with_photos_more_than_5_likes,total_posts_with_photos_less_than_5_likes,total_posts_with_link,total_posts_with_link_more_than_5_comments,total_posts_with_link_less_than_5_comments,total_posts_with_link_more_than_5_likes,total_posts_with_link_less_than_5_likes,total_user_posts,total_user_posts_more_than_5_comments,total_user_posts_less_than_5_comments,total_user_posts_more_than_5_likes,total_user_posts_less_than_5_likes,total_comments_to_user_posts,min_comments_per_user_posts,max_comments_per_user_posts,avg_comments_per_user_posts,total_likes_to_user_posts,min_likes_per_user_posts,max_likes_per_user_posts,avg_likes_per_user_posts,total_other_users_posts,total_other_users_posts_more_than_5_comments,total_other_users_posts_less_than_5_comments,total_other_users_posts_more_than_5_likes,total_other_users_posts_less_than_5_likes,total_comments_to_other_users_posts,min_comments_per_other_users_post,max_comments_per_other_users_post,avg_comments_per_other_users_post,total_likes_to_other_users_posts,min_likes_per_other_users_post,max_likes_per_other_users_post,avg_likes_per_other_users_post,companies_posts_comments_new_columns,first_time_of_post_with_comment,last_time_of_post_with_comment,number_of_different_months_with_comments,total_posts_with_comments,distinct_commentators,distinct_commentators_1qr_months_before_status,distinct_commentators_2qr_months_before_status,distinct_commentators_3qr_months_before_status,distinct_commentators_4qr_months_before_status,distinct_commentators_6months_before_status,distinct_commentators_12months_before_status,distinct_commentators_6months_after_status,companies_posts_reactions_columns,first_post_with_reaction_time,last_post_with_reaction_time,number_of_different_months_with_reactions,total_posts_with_reactions,distinct_interacting_users,distinct_interacting_users_1qr_before_status,distinct_interacting_users_2qr_before_status,distinct_interacting_users_3qr_before_status,distinct_interacting_users_4qr_before_status,distinct_interacting_users_6months_before_status,distinct_interacting_users_12months_before_status,distinct_interacting_users_6months_after_status
,rasham,105335546254125,"שיווק והפצת מוצרי פלרם ופוליגל | שהם ציוד סחר בע""מ","מ. שהם סחר בע""מ",510944176,2016-06-26,0,36,0,0,0,companies_general_info_columns,1,1,1,04-8721373,TRUE,,0,3,0,0,1,0,0,0,0,1,1,0,0,0,1,no,,no,no,,,0,1,121,19,28,4,,,,,Community,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2012-01-04,2012-01-04,1,0,0,0,0,0,0,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,rasham,105830096119513,ה-פ-ו-ך ל-א-ו-ה-ד א-ם ז-ה נ-ר-א-ה ל-ך מ-ט-ו-מ-ט-ם,"א. ר. מ. ו. ז. בע""מ",511981870,2016-06-26,0,26,0,0,0,companies_general_info_columns,0,0,0,,FALSE,,0,1083,1,1,1,0,0,0,0,0,0,0,0,0,0,no,,no,no,,,0,1,,,105,8,,,,,Public Figure,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-26,697,697,2010-04-02,2014-07-30,13,40,6,1,0,1,0,1,2,0,2,0,2,15,0,15,0,15,8,0,4,0.2,0,0,0,0,15,0,25,0,25,6,0,1,0.15,3,0,3,0.075,companies_posts_comments_columns,2010-04-06,2011-05-24,4,9,11,0,0,0,0,0,0,11,companies_posts_reactions_columns,2010-04-02,2014-07-30,35,40,0,0,0,0,0,0,0,0
,rasham,1056570391065694,הקתדרה למוסיקה,"הקתדרה למוסיקה בע""מ",512491903,2016-06-26,0,0,0,0,0,companies_general_info_columns,1,1,1,03-6420847,TRUE,,0,211,1,1,1,0,0,37,1,1,1,0,0,0,1,no,,no,no,,1990-01-01,1,1,,,118,20,,,,,Musician/Band,,1994,1908,companies_events_columns,2015-02-11,2016-07-01,4,16,20,0,17,1.25,48,0,19,3,453,0,451,28.3125,48,0,19,3,66,0,66,4.125,companies_photos,2016-03-27,2016-05-17,1,0,0,0,0,0,0,,2,7,3,0,1,0,1,1,0,0,0,5,0,1,1,0,0,4,3,0,0,7,7,companies_posts_columns,2016-06-26,17,17,2016-03-27,2016-06-09,4,26,13,18,0,18,11,7,18,0,18,11,7,22,0,22,13,9,26,0,4,1,132,0,20,5.076923077,22,0,4,0,4,0,0,0,0,2,0,1,0.07692307692,companies_posts_comments_columns,2016-03-27,2016-05-29,3,14,12,11,3,0,0,12,12,0,companies_posts_reactions_columns,2016-03-27,2016-06-09,23,26,68,60,20,0,0,68,68,0
,rasham,1085694464830765,בוקינג פלוס - Booking Plus,"בוקינג פלוס בע""מ ",514654557,2016-06-26,0,13,0,0,0,companies_general_info_columns,1,1,1,03-629-9992,TRUE,,0,831,1,1,1,0,0,1,1,1,1,0,0,0,1,no,,no,no,,,0,1,,,26,4,,,,,Company,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-01-18,2016-05-19,1,0,5,31,2.066666667,0,8,6.2,5,15,3,0,1,0,1,1,0,0,0,13,0,1,1,0,0,3,12,0,0,15,15,companies_posts_columns,2016-06-26,20,20,2016-01-18,2016-06-06,6,42,6,42,1,41,25,17,42,1,41,25,17,41,0,41,24,17,10,0,3,0.2380952381,298,0,24,7.095238095,41,1,0,1,0,70,0,70,1.666666667,200,0,200,4.761904762,companies_posts_comments_columns,2016-01-19,2016-04-20,4,6,71,67,6,0,0,71,71,0,companies_posts_reactions_columns,2016-01-18,2016-06-06,40,42,1250,1184,95,0,0,1250,1250,0
1,forceliquidated,358946730945270,Eli David furniture - רהיטי אלי דוד,"רהיטי אלי דוד בע""מ",511172983,2015-10-26,244,20,0,8,2,companies_general_info_columns,1,1,1,04-8411356,TRUE,,0,255,1,1,1,0,0,2,1,1,1,0,0,0,1,no,,no,no,,,0,1,,,43,8,,,,,Shopping/Retail,Furniture Store,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2014-11-18,2016-04-27,1,0,0,0,0,0,0,,3,14,4,0,1,1,1,1,0,0,0,7,3,1,3,0,0,0,0,0,6,0,6,companies_posts_columns,2016-06-26,60,-184,2014-11-18,2016-04-27,4,11,4,10,0,10,3,7,10,0,10,3,7,10,0,10,3,7,8,0,3,0.7272727273,33,0,6,3,10,0,1,0,1,1,0,1,0.09090909091,1,0,1,0.09090909091,companies_posts_comments_columns,2014-11-25,2016-02-06,3,5,5,0,0,0,5,0,5,5,companies_posts_reactions_columns,2014-11-18,2016-04-27,9,11,22,0,0,0,19,0,19,19
1,forceliquidated,414720518542093,ד.א.מזון ביטון,"ד.א. מזון ביטון בע""מ",512405747,2013-06-04,1118,1,0,28,3,companies_general_info_columns,1,0,0,,FALSE,,0,44,0,1,1,0,0,0,1,0,0,0,0,0,0,no,,no,no,,,0,1,,,20,4,,,,,Food/Beverages,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2012-03-22,2012-10-21,1,0,12,17,0.1531531532,0,3,1.416666667,4,111,11,9,0,0,1,1,0,0,103,0,0,7,1,0,0,0,0,51,3,0,54,companies_posts_columns,2016-06-26,1344,226,2012-03-22,2012-10-21,4,54,29,51,1,50,43,8,51,1,50,43,8,52,1,51,44,8,56,0,9,1.037037037,409,0,16,7.574074074,52,0,2,0,2,0,0,0,0,0,0,0,0,companies_posts_comments_columns,2012-03-22,2012-10-21,4,27,20,0,0,18,0,0,18,20,companies_posts_reactions_columns,2012-03-22,2012-10-21,14,54,59,0,0,58,6,0,58,59
,rasham,1088413731187048,"סקויה אביחי עוקשי בע""מ","סקויה אביחי עוקשי בע""מ",515061653,2016-06-26,0,0,0,0,0,companies_general_info_columns,1,1,1,544227767,TRUE,,0,205,1,1,1,0,0,3,1,1,1,0,0,0,1,no,,no,no,,,0,1,,,149,25,,,,,Local Business,Carpenter,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2015-06-02,2016-05-15,1,0,0,0,0,0,0,,8,300,4,0,1,1,1,1,0,0,0,171,126,1,2,0,0,22,42,7,53,64,124,companies_posts_columns,2016-06-26,42,42,2015-06-02,2016-05-15,8,38,31,36,5,31,35,1,36,5,31,35,1,36,5,31,35,1,73,0,7,1.921052632,655,0,51,17.23684211,36,0,2,0,2,1,0,1,0.02631578947,4,0,4,0.1052631579,companies_posts_comments_columns,2015-06-13,2016-05-15,8,22,32,4,13,10,7,16,25,25,companies_posts_reactions_columns,2015-06-02,2016-05-15,28,38,174,44,96,52,66,112,146,124
,forceliquidated,1438379213097731,הידרולה - קוסמטיקה אורגנית פעילה,"הידרולה בע""מ",510706856,2009-03-20,2655,23,0,3,0,companies_general_info_columns,1,1,1,503155388,TRUE,,0,641,1,1,1,0,0,10,1,1,1,0,0,0,1,no,,no,no,,2014-01-01,1,1,81,13,73,11,244,53,,,Product/Service,,1994,1908,companies_events_columns,2014-07-09,2014-07-09,1,1,2,2,2,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,companies_photos,2014-06-22,2016-06-20,1,0,0,0,0,0,0,,14,32,4,0,1,1,1,1,0,0,0,13,13,5,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,11,-2644,2014-01-01,2016-06-15,16,26,12,25,1,24,23,2,26,1,25,23,3,26,1,25,23,3,20,0,7,0.7692307692,450,0,91,17.30769231,26,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,2015-01-18,2016-04-10,7,8,19,0,0,0,0,0,0,0,companies_posts_reactions_columns,2014-01-01,2016-06-15,24,26,218,0,0,0,0,0,0,0
,forceliquidated,1521759161417644,"HOME בית בחורש, נתיבות","פינת הרדוף בע""מ",510263098,1995-12-11,7503,18,0,0,0,companies_general_info_columns,1,1,1,0522-565-565,TRUE,,0,27,0,1,1,0,0,0,1,1,1,0,0,0,1,no,,no,no,,,0,1,668,105,,,,,,,Real Estate,Real Estate,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2015-01-04,2015-01-04,1,0,0,0,0,0,0,,1,10,4,1,1,0,1,1,0,0,6,2,0,1,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,539,-6964,2015-01-04,2015-01-04,1,5,0,5,0,5,0,5,5,0,5,0,5,5,0,5,0,5,0,0,0,0,6,1,2,1.2,5,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2015-01-04,2015-01-04,1,5,2,0,0,0,0,0,0,0
,rasham,1040186629405323,יגאל קלדרון חברת עורכי דין,יגאל קלדרון חברת עורכי דין,514709278,2016-06-26,0,0,0,0,0,companies_general_info_columns,1,0,0,36427342,TRUE,,0,27,0,1,1,0,0,0,0,1,1,0,0,0,1,no,,no,no,,,0,1,354,60,77,14,,,,,Lawyer,"Real Estate Lawyer,Corporate Lawyer,Labor & Employment Law",1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-04-29,2016-04-29,1,0,0,0,0,0,0,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,companies_posts_columns,2016-06-26,58,58,2016-04-29,2016-04-29,1,2,1,1,0,1,0,1,1,0,1,0,1,2,0,2,0,2,1,0,1,0.5,3,0,3,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,2016-04-29,2016-04-29,1,1,1,1,0,0,0,1,1,0,companies_posts_reactions_columns,2016-04-29,2016-04-29,2,2,3,3,0,0,0,3,3,0
