is_match,company_type,page_handle,page_name,company_name,company_id,company_status_date,days_from_company_status_to_now,bigrams_intersection,times_prosecutor,times_defendant,times_unknown_appearences,companies_general_info_columns,changed_picture,has_website,has_top_20_website,phone,has_phone,email,has_email,number_of_likes,has_more_than_100_likes,has_more_than_10_likes,has_more_than_1_likes,checkins,were_here_count,talking_about_count,changed_cover,has_location,has_country,has_state,has_country_state,has_country_state_city,has_country_or_state_or_city,is_unclaimed,is_published,is_verified,is_permanently_closed,is_community_page,start_info,has_start_info,has_text,description_length,description_words,about_length,about_words,products_length,products_words,general_info_length,general_info_words,category,category_list,number_of_records,number_of_pages,companies_events_columns,first_event_time,last_event_time,number_of_different_months_with_events,total_events,total_attending,min_attending_per_event,max_attending_per_event,avg_attending_per_event,total_maybe,min_maybe_per_event,max_maybe_per_event,avg_maybe_per_event,total_noreply,min_noreply_per_event,max_noreply_per_event,avg_noreply_per_event,total_interested,min_interested_per_event,max_interested_per_event,avg_interested_per_event,total_declined,min_declined_per_post,max_declined_per_post,avg_declined_per_post,companies_photos,first_photo_time,last_photo_time,number_of_different_photo_uploaders,number_of_photos_self_tagged,number_of_photos_with_tagged_people_without_self,total_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos,min_number_of_people_tagged_in_photos,max_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos_when_more_than_zero,number_of_different_months_for_photos,total_photos,number_of_albums,number_of_normal_albums,number_of_wall_albums,number_of_mobile_albums,number_of_cover_albums,number_of_profile_albums,number_of_app_albums,number_of_null_albums,number_of_photos_in_normal_albums,number_of_photos_in_wall_albums,number_of_photos_in_mobile_albums,number_of_photos_in_cover_albums,number_of_photos_in_profile_albums,number_of_photos_in_app_albums,number_of_photos_in_null_albums,number_of_photos_1qr_before_status,number_of_photos_2qr_before_status,number_of_photos_3qr_before_status,number_of_photos_4qr_before_status,number_of_photos_6months_before_status,number_of_photos_12months_before_status,companies_posts_columns,companies_posts_calculation_date,days_from_last_post_to_now,days_from_last_post_to_company_status,first_post_time,last_post_time,number_of_different_months_with_posts,total_posts,total_user_changed_post_time,total_posts_with_photos,total_posts_with_photos_more_than_5_comments,total_posts_with_photos_less_than_5_comments,total_posts_with_photos_more_than_5_likes,total_posts_with_photos_less_than_5_likes,total_posts_with_link,total_posts_with_link_more_than_5_comments,total_posts_with_link_less_than_5_comments,total_posts_with_link_more_than_5_likes,total_posts_with_link_less_than_5_likes,total_user_posts,total_user_posts_more_than_5_comments,total_user_posts_less_than_5_comments,total_user_posts_more_than_5_likes,total_user_posts_less_than_5_likes,total_comments_to_user_posts,min_comments_per_user_posts,max_comments_per_user_posts,avg_comments_per_user_posts,total_likes_to_user_posts,min_likes_per_user_posts,max_likes_per_user_posts,avg_likes_per_user_posts,total_other_users_posts,total_other_users_posts_more_than_5_comments,total_other_users_posts_less_than_5_comments,total_other_users_posts_more_than_5_likes,total_other_users_posts_less_than_5_likes,total_comments_to_other_users_posts,min_comments_per_other_users_post,max_comments_per_other_users_post,avg_comments_per_other_users_post,total_likes_to_other_users_posts,min_likes_per_other_users_post,max_likes_per_other_users_post,avg_likes_per_other_users_post,companies_posts_comments_new_columns,first_time_of_post_with_comment,last_time_of_post_with_comment,number_of_different_months_with_comments,total_posts_with_comments,distinct_commentators,distinct_commentators_1qr_months_before_status,distinct_commentators_2qr_months_before_status,distinct_commentators_3qr_months_before_status,distinct_commentators_4qr_months_before_status,distinct_commentators_6months_before_status,distinct_commentators_12months_before_status,distinct_commentators_6months_after_status,companies_posts_reactions_columns,first_post_with_reaction_time,last_post_with_reaction_time,number_of_different_months_with_reactions,total_posts_with_reactions,distinct_interacting_users,distinct_interacting_users_1qr_before_status,distinct_interacting_users_2qr_before_status,distinct_interacting_users_3qr_before_status,distinct_interacting_users_4qr_before_status,distinct_interacting_users_6months_before_status,distinct_interacting_users_12months_before_status,distinct_interacting_users_6months_after_status
"",closed,127224747353343,"מיחזורית - דה האז 7-ליד קולנוע צפון / לואי מרשל,תל אביב יפו","דה תל אביב קולנוע בע""מ",510019110,2016-06-28,0,44,0,0,0,companies_general_info_columns,1,1,1,,0,,0,5,0,0,1,6,6,0,1,1,1,0,0,0,1,false,,false,false,,,0,1,145,16,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,closed,127365833950384,Ketem Paz Original Jewish Reggae Music  כתם פז רגאיי יהודי מקורי,"כתם פז בע""מ",510385651,2016-06-28,0,57,0,0,0,companies_general_info_columns,1,1,1,,0,,0,721,1,1,1,0,0,19,1,1,1,0,0,0,1,false,,false,false,,2010-01-01 00:00:00,1,1,449,74,176,27,,,,,Musician/Band,,1980,1896,companies_events_columns,2013-03-18 20:00:00,2016-04-14 19:00:00,17,19,477,2,127,25.105263157894736,231,0,84,12.157894736842104,28062,2,6814,1476.9473684210527,231,0,84,12.157894736842104,678,0,228,35.68421052631579,companies_photos,2010-08-15 15:34:37,2016-06-16 11:05:36,1,111,227,871,2.392857142857143,0,22,3.526315789473684,41,364,17,13,1,1,1,1,0,0,212,100,24,24,4,0,0,26,7,14,20,33,67,companies_posts_columns,2016-06-28 14:24:27.622,19,19,2010-08-15 15:40:20,2016-06-09 13:38:16,50,303,118,265,9,256,193,72,280,9,271,194,86,292,9,283,200,92,218,0,11,0.7194719471947195,2701,0,49,8.914191419141915,292,0,11,0,11,3,0,1,0.009900990099009901,18,0,4,0.0594059405940594,companies_posts_comments_columns,2011-12-08 15:15:57,2016-05-20 12:49:31,33,101,90,11,8,11,17,17,35,0,companies_posts_reactions_columns,2010-08-15 15:40:20,2016-06-09 13:38:16,284,303,591,76,77,108,149,124,262,0
"",closed,127375987360817,בבורגס אוכל בורקס עם גבינה בולגרית.  .,"בורקס בולגרי בע""מ",511406456,2016-06-28,0,25,0,0,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",closed,127434050666177,"מיחזורית - חידושי הרי""ם,תל אביב יפו","אביב הרים בע""מ",511355950,2016-06-28,0,27,0,0,0,companies_general_info_columns,1,1,1,,0,,0,3,0,0,1,7,7,0,1,1,1,0,0,0,1,false,,false,false,,,0,1,145,16,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",closed,127525460751458,"כהן, פפיסמדוב - משרד עו״ד","א.ד. לוין בע""מ",513404467,2016-06-28,0,20,0,0,0,companies_general_info_columns,1,0,0,08-8664408,1,,0,117,1,1,1,210,210,1,1,1,1,0,0,0,1,false,,false,false,,,0,1,1242,189,52,10,,,,,Local Business,Law Practice,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2013-12-09 10:45:11,2015-09-10 18:09:15,1,0,0,0,0.0,0,0,,3,4,3,0,0,1,1,1,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,companies_posts_columns,2016-06-28 14:24:27.622,73,73,2014-01-14 16:58:18,2016-04-16 12:41:36,8,8,1,7,0,7,1,6,7,0,7,1,6,7,0,7,1,6,1,0,1,0.125,20,0,6,2.5,7,0,1,0,1,0,0,0,0.0,0,0,0,0.0,companies_posts_comments_columns,2015-11-23 21:25:20,2015-11-23 21:25:20,1,1,1,0,0,1,0,0,1,0,companies_posts_reactions_columns,2014-01-14 16:58:18,2016-04-16 12:41:36,8,8,14,1,0,3,2,1,6,0
"",closed,127591547363144,"""יש לי סחרחורת, סופש אש!""","א.ש. סחר בע""מ",510836604,2016-06-28,0,20,0,2,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,true,,false,false,,,0,0,,,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",closed,127722624000444,"בבית אחריי טיול עם האחים , עמית הנסיכה תומר הכוכב נודרת שהיה  נדיר - שחר (;","תומר עמית בע""מ",511686198,2016-06-28,0,65,0,0,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",closed,127841560688688,צומת הרחובות שיינקין אלנבי נחלת בנימין וקינג ג׳ורג׳,"נחלת גור בע""מ",510071350,2016-06-28,0,43,0,0,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,7,7,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",closed,127900973950447,הסטודיו לאמנויות הבמה - תיאטרון חולון,"מרכז חולון יד בע""מ",510072606,2016-06-28,0,30,0,0,0,companies_general_info_columns,0,1,1,03-5050990,1,,0,153,1,1,1,1,1,0,0,1,1,0,0,0,1,false,,false,false,,2002-01-01 00:00:00,1,1,1180,191,,,,,,,Education,Education,1980,1896,companies_events_columns,2011-03-13 04:00:00,2011-09-23 03:30:00,7,8,234,12,67,29.25,290,21,58,36.25,13750,579,2376,1718.75,290,21,58,36.25,1078,64,223,134.75,companies_photos,2011-02-22 09:29:42,2012-03-15 09:41:07,1,18,37,100,1.408450704225352,0,8,2.6315789473684212,7,71,6,4,1,0,0,1,0,0,69,1,0,0,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-28 14:24:27.622,837,837,2011-03-14 13:56:40,2014-03-14 17:53:16,15,91,13,23,2,21,4,19,25,2,23,5,20,86,2,84,8,78,26,0,5,0.2857142857142857,153,0,10,1.6813186813186813,86,0,5,0,5,0,0,0,0.0,0,0,0,0.0,companies_posts_comments_columns,2011-03-14 13:56:40,2012-05-03 07:13:29,10,15,16,0,0,0,0,0,0,0,companies_posts_reactions_columns,2011-03-14 13:56:40,2014-03-14 17:53:16,83,91,55,0,0,0,0,0,0,0
1,forceliquidated,358946730945270,Eli David furniture - רהיטי אלי דוד,"רהיטי אלי דוד בע""מ",511172983,2015-10-26,246,20,0,7,2,companies_general_info_columns,1,1,1,04-8411356,1,,0,255,1,1,1,0,0,2,1,1,1,0,0,0,1,false,,false,false,,,0,1,,,43,8,,,,,Shopping/Retail,Furniture Store,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2014-11-18 11:54:12,2016-04-27 10:33:19,1,0,0,0,0.0,0,0,,3,14,4,0,1,1,1,1,0,0,0,7,3,1,3,0,0,0,0,0,6,0,6,companies_posts_columns,2016-06-28 14:24:27.622,62,-184,2014-11-18 11:54:14,2016-04-27 10:33:18,4,11,4,10,0,10,3,7,10,0,10,3,7,10,0,10,3,7,8,0,3,0.7272727272727273,33,0,6,3.0,10,0,1,0,1,1,0,1,0.09090909090909091,1,0,1,0.09090909090909091,companies_posts_comments_columns,2014-11-25 18:34:00,2016-02-06 18:58:49,3,5,5,0,0,0,5,0,5,1,companies_posts_reactions_columns,2014-11-18 11:54:14,2016-04-27 10:33:18,9,11,22,0,0,0,19,0,19,1
"",liquidated,359041514196952,פאב דג על הדן,"פאב - דג בע""מ",512700105,2000-10-16,5734,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
